threads,mean_seconds,speedup,tree_count
1,1.636193,0.8344,37582
2,0.847909,1.6102,37582
4,0.599536,2.2773,37582
8,0.469355,2.9089,37582
16,0.291086,4.6904,37582
32,0.203692,6.7029,37582
