threads,mean_seconds,speedup,tree_count
1,0.568459,0.8973,60075
2,0.288494,1.7681,60075
4,0.184912,2.7586,60075
8,0.161123,3.1659,60075
16,0.122893,4.1507,60075
32,0.076052,6.7072,60075
