threads,mean_seconds,speedup,tree_count
1,0.317401,0.7729,17779
2,0.161831,1.5160,17779
4,0.110417,2.2219,17779
8,0.084415,2.9062,17779
16,0.073546,3.3357,17779
32,0.053871,4.5540,17779
