threads,mean_seconds,speedup,tree_count
1,0.884471,0.7193,9195
2,0.449755,1.4146,9195
4,0.237306,2.6811,9195
8,0.134267,4.7386,9195
16,0.078781,8.0760,9195
32,0.051845,12.2718,9195
