threads,mean_seconds,speedup,tree_count
1,0.429806,0.8033,35526
2,0.217843,1.5849,35526
4,0.168135,2.0535,35526
8,0.143357,2.4084,35526
16,0.128637,2.6840,35526
32,0.096350,3.5835,35526
