threads,mean_seconds,speedup,tree_count
1,0.594558,0.9079,66954
2,0.324161,1.6652,66954
4,0.224099,2.4087,66954
8,0.202452,2.6663,66954
16,0.123292,4.3782,66954
32,0.074507,7.2448,66954
